customer_id,first_name,last_name,age,region,state,annual_income,income_class,tax_bracket,credit_score,debt_to_income_ratio,loan_amount,loan_term_months,base_interest_rate,risk_adjusted_interest_rate,loan_purpose,employment_status,delinquency_history,existing_mortgages,has_co_signer,property_type,property_value,ltv_ratio,application_status
CUST0001,Daniel,Chen,22,Southwest,AZ,395838,Affluent,32%,626,22%,160268,120,4.7,4.94,Investment Property,Self-Employed,2+ delinquencies,2,False,N/A,0,0%,Rejected
CUST0002,Aisha,Jones,72,Southwest,NM,282709,Affluent,32%,711,35%,264176,180,6.36,6.36,Auto Loan,Full-Time,None,2,True,Condo,1278079,20.67%,Rejected
CUST0003,Marcus,Jones,64,Northeast,PA,361236,Affluent,32%,826,21%,539492,120,4.29,3.71,Auto Loan,Full-Time,1 late,1,False,Single Family,148148,364.16%,Pending
CUST0004,Noah,Bennett,34,West,CO,136530,Middle,22%,725,31%,510337,180,5.91,5.83,Refinance,Part-Time,1 late,0,True,Condo,1069913,47.7%,Pending
CUST0005,Emily,Singh,27,Southwest,AZ,85591,Middle,22%,732,30%,74300,180,6.43,6.33,Auto Loan,Part-Time,None,0,True,N/A,0,0%,Rejected
CUST0006,Mia,Kim,32,Northeast,NJ,163767,Upper Middle,24%,582,25%,530754,120,7.2,7.5,Investment Property,Full-Time,2+ delinquencies,0,False,Condo,708776,74.88%,Rejected
CUST0007,Aisha,Turner,25,South,TX,381279,Affluent,32%,581,38%,697972,360,6.66,7.22,Refinance,Self-Employed,2+ delinquencies,0,True,N/A,0,0%,Rejected
CUST0008,Sophia,Jones,59,South,GA,120982,Middle,22%,802,23%,268126,180,4.11,3.57,Primary Home Purchase,Self-Employed,2+ delinquencies,2,True,Multi-Family,1313916,20.41%,Pending
CUST0009,Marcus,Brown,48,West,OR,279002,Affluent,32%,548,50%,374767,360,5.3,6.1,Refinance,Unemployed,1 late,1,True,Single Family,189556,197.71%,Pending
CUST0010,Ethan,Patel,52,Northeast,PA,315920,Affluent,32%,802,27%,629304,360,4.03,3.57,Auto Loan,Self-Employed,None,1,True,Single Family,1095602,57.44%,Pending
CUST0011,Daniel,Jones,57,Northeast,NJ,343149,Affluent,32%,571,26%,364877,360,6.24,6.56,Primary Home Purchase,Full-Time,None,0,True,Single Family,305281,119.52%,Pending
CUST0012,Ethan,Chen,72,Northeast,NY,287426,Affluent,32%,645,16%,792452,180,8.44,8.56,Auto Loan,Self-Employed,2+ delinquencies,2,False,Townhouse,891774,88.86%,Pending
CUST0013,Noah,Khan,39,South,FL,119045,Middle,22%,759,30%,468400,120,5.44,5.34,Refinance,Unemployed,None,2,False,Multi-Family,1446970,32.37%,Rejected
CUST0014,Noah,Singh,72,Southwest,OK,244835,Affluent,32%,647,53%,323255,120,7.04,7.9,Primary Home Purchase,Full-Time,1 late,2,True,Condo,634594,50.94%,Rejected
CUST0015,Ethan,Bennett,31,Southwest,AZ,163121,Upper Middle,24%,823,26%,857364,120,7.97,7.49,Investment Property,Full-Time,None,2,True,Townhouse,987317,86.84%,Approved
CUST0016,Aisha,Singh,56,Northeast,NJ,297683,Affluent,32%,623,34%,566349,360,5.68,6.16,Primary Home Purchase,Self-Employed,None,0,False,Condo,1206081,46.96%,Pending
CUST0017,Daniel,Kim,47,Northeast,NJ,315472,Affluent,32%,796,34%,108871,360,7.24,6.92,Auto Loan,Full-Time,2+ delinquencies,2,False,N/A,0,0%,Rejected
CUST0018,Sophia,Patel,55,Midwest,OH,346189,Affluent,32%,616,42%,419599,120,4.88,5.52,Primary Home Purchase,Unemployed,2+ delinquencies,2,False,Single Family,710271,59.08%,Approved
CUST0019,Ryan,Singh,62,Southwest,AZ,325972,Affluent,32%,799,43%,181373,120,6.58,6.44,Auto Loan,Full-Time,2+ delinquencies,0,True,Single Family,198015,91.6%,Rejected
CUST0020,Mia,Patel,68,South,GA,66631,Lower Middle,15%,633,46%,54014,180,5.61,6.33,Investment Property,Self-Employed,1 late,1,False,Single Family,238823,22.62%,Approved
